Fulfil Customer Shipments Fulfil Customer Shipment Number,Fulfil Customer Shipments Create Time,Fulfil Customer Shipments Assigned Time,Fulfil Customer Shipments Picking Started Time,Fulfil Customer Shipments Picked Time,Fulfil Customer Shipments Weight,Fulfil Customer Shipments Shipped Time
CS115973,2022-07-21 16:52:26,2022-07-21 16:52:30,2022-07-22 7:41:17,2022-07-22 8:00:47,89,
CS115967,2022-07-21 16:39:48,2022-07-21 16:39:59,2022-07-22 8:27:46,2022-07-22 9:26:27,767.76,
CS115960,2022-07-21 16:27:47,2022-07-22 8:34:54,2022-07-22 8:35:23,2022-07-22 8:35:25,"9,058.50",
CS115959,2022-07-21 16:27:36,2022-07-22 7:17:17,2022-07-22 9:01:43,2022-07-22 9:59:14,"2,821.50",
CS115955,2022-07-21 16:18:28,2022-07-21 16:18:32,2022-07-22 8:16:21,2022-07-22 8:30:06,300,
CS115951,2022-07-21 16:02:24,2022-07-21 16:02:29,2022-07-21 16:03:12,2022-07-21 21:13:51,"3,870.90",
CS115950,2022-07-21 16:00:45,2022-07-21 16:00:48,2022-07-22 7:57:45,2022-07-22 8:04:41,434,
CS115949,2022-07-21 15:59:34,2022-07-21 15:59:42,2022-07-21 17:02:23,2022-07-21 20:43:41,4,2022-07-22 10:05:11
CS115942,2022-07-21 15:53:47,2022-07-21 19:02:06,2022-07-21 19:02:11,2022-07-21 19:02:14,10,2022-07-22 9:04:19
CS115941,2022-07-21 15:47:46,2022-07-22 7:17:21,2022-07-22 7:17:23,2022-07-22 7:17:25,73.05,
CS115940,2022-07-21 15:47:43,2022-07-21 15:47:47,2022-07-22 8:01:16,2022-07-22 8:44:06,373.85,
CS115939,2022-07-21 15:45:37,2022-07-21 15:53:57,2022-07-21 17:13:34,2022-07-21 17:13:37,"3,960",
CS115938,2022-07-21 15:45:27,2022-07-21 15:53:57,2022-07-21 17:12:40,2022-07-21 17:13:20,"3,960",
CS115937,2022-07-21 15:39:14,2022-07-21 15:39:16,2022-07-21 15:48:21,2022-07-21 20:16:43,"1,824.48",
CS115936,2022-07-21 15:39:05,2022-07-21 19:01:03,2022-07-21 19:01:11,2022-07-21 19:01:15,48.05,
CS115934,2022-07-21 15:39:01,2022-07-21 15:39:07,2022-07-22 7:24:24,2022-07-22 7:47:38,"2,770.15",
CS115932,2022-07-21 15:34:55,2022-07-21 15:35:00,2022-07-21 15:48:09,2022-07-21 15:51:32,"7,819.20",
CS115930,2022-07-21 15:33:31,2022-07-21 19:00:31,2022-07-21 19:00:36,2022-07-21 19:00:37,1.32,
CS115928,2022-07-21 15:33:25,2022-07-21 15:33:33,2022-07-21 17:43:30,2022-07-21 17:57:33,958,
CS115927,2022-07-21 15:32:22,2022-07-21 15:32:25,2022-07-22 8:08:04,2022-07-22 8:47:45,"1,465.08",
CS115924,2022-07-21 15:16:45,2022-07-21 18:18:16,2022-07-21 18:18:23,2022-07-21 18:18:25,1.32,
CS115922,2022-07-21 15:16:33,2022-07-21 15:16:46,2022-07-22 6:59:49,2022-07-22 7:33:27,678,
CS115916,2022-07-21 15:05:08,2022-07-21 15:05:13,2022-07-22 7:24:46,2022-07-22 8:17:29,641.65,
CS115912,2022-07-21 15:02:07,2022-07-22 6:35:47,2022-07-22 7:34:08,2022-07-22 7:59:30,"1,782",
CS115911,2022-07-21 15:00:41,2022-07-21 15:00:45,2022-07-21 19:19:54,2022-07-21 20:12:05,793.84,2022-07-22 9:10:24
CS115910,2022-07-21 15:00:27,2022-07-21 15:00:30,2022-07-21 19:10:39,2022-07-21 19:29:52,"1,568",2022-07-22 9:32:40
CS115909,2022-07-21 14:59:51,2022-07-21 14:59:55,2022-07-21 18:52:33,2022-07-21 19:14:20,"2,616.60",
CS115908,2022-07-21 14:54:39,2022-07-21 14:54:41,2022-07-22 7:23:57,2022-07-22 7:40:45,387.35,
CS115907,2022-07-21 14:51:17,2022-07-22 8:47:29,2022-07-22 8:47:32,2022-07-22 8:47:34,125,
CS115906,2022-07-21 14:50:47,2022-07-21 18:17:43,2022-07-21 18:17:52,2022-07-21 18:17:53,7,
CS115905,2022-07-21 14:50:43,2022-07-21 14:50:50,2022-07-22 6:49:38,2022-07-22 7:22:49,465.14,
CS115901,2022-07-21 14:44:21,2022-07-21 14:44:26,2022-07-22 7:02:27,2022-07-22 7:37:53,991.72,
CS115898,2022-07-21 14:33:54,2022-07-21 14:33:57,2022-07-22 6:56:25,2022-07-22 7:13:38,105.6,
CS115895,2022-07-21 14:21:45,2022-07-21 14:21:50,2022-07-21 14:40:13,2022-07-21 15:01:49,"7,849.80",
CS115892,2022-07-21 14:13:22,2022-07-21 14:13:25,2022-07-22 6:49:45,2022-07-22 7:22:35,3.85,
CS115891,2022-07-21 14:12:55,2022-07-21 14:13:01,2022-07-22 6:20:49,2022-07-22 7:00:16,"1,439.02",
CS115889,2022-07-21 14:03:57,2022-07-21 14:04:00,2022-07-22 6:46:56,2022-07-22 7:22:19,350.88,
CS115885,2022-07-21 13:58:51,2022-07-21 13:58:56,2022-07-21 17:03:32,2022-07-21 17:23:13,260,2022-07-22 8:57:09
CS115884,2022-07-21 13:53:30,2022-07-21 18:55:08,2022-07-21 18:55:12,2022-07-21 18:55:14,58.5,
CS115883,2022-07-21 13:53:24,2022-07-21 13:53:32,2022-07-22 7:00:35,2022-07-22 7:58:59,"1,089.27",
