Renorun SKU,Feb 4,Feb 11,Feb 18,Feb 25,Mar 4,Mar 11,Mar 18,Mar 25,Apr 1,Apr 8,Apr 15,Apr 22,Apr 29,May 6,May 13,May 20,May 27,Jun 3,Jun 10,Jun 17,Jun 24,Jul 1,Jul 8,Jul 15
1001000065,4432,2288,3390,3234,3626,3122,2257,2517,1709,1336,2124,1062,1484,2177,2548,4754,5560,4849,4033,2348,2348,3048,3346,3898
1401000159,874,874,874,2410,2410,3946,3946,3946,3946,3906,3798,3582,3405,3319,3288,3058,2818,2595,2287,2209,2209,2129,2145,5205
1101000652,2176,1853,2169,1842,1470,1786,4514,4295,3971,4977,4491,4037,3619,3034,2855,1991,1743,1389,2766,2135,2135,0,2312,1691
1401000167,283,276,864,1550,1548,1936,2613,2613,2573,2531,2479,2437,2376,2315,2205,2118,1930,2280,2180,2112,2112,1852,1834,1768
1101000667,3609,4334,3719,3227,2709,2228,3003,2391,1450,864,284,762,905,794,689,2060,1545,1233,3327,1931,1931,307,274,198
1000005765,0,0,0,0,0,0,0,2070,2070,2061,2029,2027,1997,1990,1990,1964,1962,2340,1932,1890,1890,1872,1872,1712
1506000813,260,251,22,1,110,105,177,75,61,448,411,370,1588,2114,2067,2035,1973,1912,1881,1861,1861,1816,1766,1699
1807000251,850,850,850,854,854,854,854,702,702,582,582,528,358,410,410,410,490,1490,1549,1860,1860,1901,1901,1901
1102000746,917,1492,2098,1646,1166,2601,2678,2186,1704,1550,1631,1420,1385,3013,3358,2822,2301,2946,2496,1853,1853,1104,814,729
1000005766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960,1937,2489,1911,1848,1848,1810,1810,1781
1102000744,621,791,609,609,558,558,2267,2249,2207,2151,2145,2105,2065,2065,2055,1855,1905,1891,1883,1844,1844,226,226,226
1102000737,932,1585,1846,1450,1050,2075,2245,1795,1458,989,1580,1108,647,2237,3113,2736,2358,2505,2112,1829,1829,1024,775,623
1501000788,490,490,389,389,388,317,933,902,899,868,790,681,430,299,1123,2795,2481,2292,2152,1707,1707,1125,928,847
1000001508,455,455,455,455,455,455,455,455,455,454,453,453,449,448,448,447,446,1645,1645,1643,1643,1643,1641,1641
1000001565,243,119,29,19,19,0,412,295,168,789,557,49,402,283,11,12,0,0,0,1602,1602,1262,1238,1200
1000005764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,1800,2072,1720,1600,1600,1000,1000,795
1401000188,747,741,739,737,1653,1649,1985,2376,2361,2340,2324,2451,2362,2298,2227,2019,1890,1838,1730,1586,1586,1485,1392,1257
1702000013,310,188,191,101,18,0,3317,3297,3242,3164,3119,3076,2944,2861,2834,2739,1622,1584,1546,1537,1537,639,604,565
1000001338,1155,1139,1139,1107,1091,1073,1063,1063,983,752,2052,1932,1928,1928,1803,1703,1673,1741,1533,1530,1530,984,807,793
1702000021,839,825,817,761,737,719,3408,3402,3322,3232,3219,3186,2757,2668,2589,2526,1597,2997,1532,1508,1508,785,742,663
1000001355,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,2477,2477,2477,2477,1557,1557,1557,1539,1503,1503,1503,92,63,63
1101000695,466,416,362,352,292,170,76,0,0,1008,608,506,372,1041,890,1842,1720,1678,1584,1469,1469,1329,1059,1022
1000005773,0,0,0,0,0,0,0,540,540,540,540,535,528,490,488,1620,1556,1960,1479,1442,1442,351,323,323
1000001358,1205,1173,1173,1173,1157,1067,1037,1037,936,705,1830,1741,1741,1741,1616,1576,1576,1576,1426,1423,1423,1323,1171,1157
1000001507,227,227,227,227,227,227,227,211,211,208,198,192,173,535,532,324,298,1180,1160,1409,1409,1134,1121,1121
1807000250,575,515,515,1021,1021,491,382,1761,2836,2366,1973,1839,698,302,258,258,191,3048,1728,1395,1395,1052,1649,1593
1401000218,132,132,132,1275,1243,2030,1994,1994,2250,2153,2142,2105,2101,2012,1869,1841,1791,1677,1494,1337,1337,1002,794,749
1000005769,0,0,0,0,0,0,0,1400,1400,1394,1389,1388,1387,1387,1387,1381,1380,1738,1374,1334,1334,1334,1334,1330
1401000182,15,15,15,201,199,581,577,551,1969,1941,1899,1813,1751,1640,1268,1089,1097,865,1155,1316,1316,849,657,439
